Country/Territory,station_count,2022 Population
Canada,4135,38454327
United States,2266,338289857
Spain,888,47558630
Malaysia,377,33938221
Denmark,296,5882261
Brazil,199,215313498
Italy,134,59037474
France,112,64626628
Netherlands,95,17564014
Ireland,78,5023109
Germany,69,83369843
Austria,43,8939617
Australia,39,26177413
United Kingdom,36,67508936
Georgia,29,3744385
India,27,1417173173
Egypt,25,110990103
Belgium,21,11655930
Lithuania,21,2750055
Finland,20,5540745
Switzerland,17,8740472
Japan,16,123951692
Poland,13,39857145
Hungary,13,9967308
Sweden,13,10549347
Romania,11,19659267
Azerbaijan,11,10358074
Costa Rica,10,5180829
Israel,10,9038309
Tunisia,9,12356117
Indonesia,9,275501339
Jordan,8,11285869
Mexico,8,127504125
Colombia,8,51874024
Dominican Republic,7,11228821
Ukraine,7,39701739
Latvia,7,1850651
Croatia,7,4030358
Slovenia,7,2119844
Liechtenstein,4,39327
Ecuador,4,18001000
Panama,4,4408581
Slovakia,4,5643453
Estonia,3,1326062
South Africa,3,59893885
United Arab Emirates,3,9441129
Greece,3,10384971
Guatemala,2,17843908
Armenia,2,2780469
Luxembourg,2,647599
Nepal,2,30547580
Sri Lanka,2,21832143
New Zealand,2,5185288
Cyprus,2,1251488
Paraguay,2,6780744
Morocco,2,37457971
Bulgaria,2,6781953
Serbia,1,7221365
Bosnia and Herzegovina,1,3233526
Malta,1,533286
Portugal,1,10270865
Jamaica,1,2827377
China,1,1425887337
Uruguay,1,3422794
Uzbekistan,1,34627652
Albania,1,2842321
Norway,1,5434319
