Country/Territory,station_count,2022 Population,stations_per_million
Canada,4135,38454327,107.53016169025659
Liechtenstein,4,39327,101.71129249624938
Denmark,296,5882261,50.32078651389321
Spain,888,47558630,18.671690080223087
Ireland,78,5023109,15.528231619102831
Malaysia,377,33938221,11.10841961928411
Georgia,29,3744385,7.744930075299415
Lithuania,21,2750055,7.636210912145394
United States,2266,338289857,6.698397699816344
Netherlands,95,17564014,5.408786397004694
Austria,43,8939617,4.8100494685622435
Latvia,7,1850651,3.7824527693227954
Finland,20,5540745,3.609622893672241
Slovenia,7,2119844,3.302129779361123
Luxembourg,2,647599,3.0883308961255347
Italy,134,59037474,2.269744806493584
Estonia,3,1326062,2.2623376584201944
Switzerland,17,8740472,1.9449750539787785
Costa Rica,10,5180829,1.9301930250930883
Malta,1,533286,1.8751664210198655
Belgium,21,11655930,1.801658040156384
Croatia,7,4030358,1.7368184166270093
France,112,64626628,1.7330317775515072
Cyprus,2,1251488,1.5980976245876908
Australia,39,26177413,1.4898340030773858
Hungary,13,9967308,1.3042638995403772
Sweden,13,10549347,1.2323037624982855
Israel,10,9038309,1.1064016510167998
Azerbaijan,11,10358074,1.0619734904384732
Brazil,199,215313498,0.9242337421874034
Panama,4,4408581,0.9073214261005978
Germany,69,83369843,0.8276373988133815
Tunisia,9,12356117,0.7283841679388435
Armenia,2,2780469,0.7193031103745448
Jordan,8,11285869,0.7088510419534375
Slovakia,4,5643453,0.7087859152898057
Dominican Republic,7,11228821,0.6233958133271517
Romania,11,19659267,0.5595325603950544
United Kingdom,36,67508936,0.5332627372471105
New Zealand,2,5185288,0.38570663770266955
Jamaica,1,2827377,0.35368470494030335
Albania,1,2842321,0.3518251457171797
Poland,13,39857145,0.32616485701622633
United Arab Emirates,3,9441129,0.31775860704794945
Bosnia and Herzegovina,1,3233526,0.30925992244998185
Paraguay,2,6780744,0.2949528842262737
Bulgaria,2,6781953,0.29490030379154797
Uruguay,1,3422794,0.2921589788926824
Greece,3,10384971,0.2888789963881459
Egypt,25,110990103,0.22524530858395544
Ecuador,4,18001000,0.2222098772290428
Norway,1,5434319,0.18401569727504036
Ukraine,7,39701739,0.17631469493061752
Colombia,8,51874024,0.1542197690312207
Serbia,1,7221365,0.13847797473192394
Japan,16,123951692,0.129082546126115
Guatemala,2,17843908,0.11208307059193535
Portugal,1,10270865,0.09736278297884356
Sri Lanka,2,21832143,0.091608047821966
Nepal,2,30547580,0.06547163474160637
Mexico,8,127504125,0.06274306811642369
Morocco,2,37457971,0.05339317498003295
South Africa,3,59893885,0.05008858583810351
Indonesia,9,275501339,0.03266771781461287
Uzbekistan,1,34627652,0.028878654550415373
India,27,1417173173,0.019052011789669972
China,1,1425887337,0.0007013176806127987
